Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20050204,1600,41.0396,42.0099,41.0396,42.0000,7180200
HD,20050207,1600,41.8525,42.1000,41.8426,42.1000,5391700
HD,20050208,1600,41.8876,42.1846,41.6004,41.6400,5564200
HD,20050209,1600,41.7372,41.8659,41.3411,41.4500,4155100
HD,20050210,1600,41.5837,42.0292,41.2668,41.9500,4434300
HD,20050211,1600,41.8256,42.5682,41.5879,42.3900,6385200
HD,20050214,1600,42.3584,42.4772,42.1307,42.2000,3449000
HD,20050215,1600,41.9832,42.4288,41.9634,42.3100,5477900
HD,20050216,1600,42.1084,42.3064,41.7421,41.9500,5560500
HD,20050217,1600,41.8456,42.0337,41.1029,41.4000,6916600
HD,20050218,1600,41.4120,41.8180,41.3327,41.6100,5879400
HD,20050222,1600,40.9394,41.0384,39.7018,39.8800,14330000
HD,20050223,1600,40.0036,40.2017,39.2412,39.3600,12444500
HD,20050224,1600,39.2696,39.3884,38.4973,39.2300,15068200
HD,20050225,1600,39.3681,40.2097,39.2295,40.1800,9844600
HD,20050228,1600,39.8578,40.2539,39.6300,39.6300,8184700
HD,20050301,1600,39.6600,39.7887,39.4520,39.6600,9299200
HD,20050302,1600,39.4613,39.7980,39.3920,39.5900,7257100
HD,20050303,1600,39.5973,39.7558,39.3102,39.3300,6993800
HD,20050304,1600,39.5614,39.7594,39.3138,39.7000,5639700
HD,20050307,1600,39.6187,39.8762,39.4009,39.4900,6808200
HD,20050308,1600,39.6601,39.8488,39.5609,39.6800,5578000
HD,20050309,1600,39.5474,39.6070,39.1901,39.2000,7951000
HD,20050310,1600,39.1235,39.6000,39.1235,39.6000,5574900
HD,20050311,1600,39.5072,39.7057,39.0704,39.1300,5837300
HD,20050314,1600,39.3090,39.3785,38.4752,39.1800,8673000
HD,20050315,1600,39.3608,39.6983,39.2615,39.4700,7213700
HD,20050316,1600,39.1657,39.5428,38.3716,38.5900,9594200
HD,20050317,1600,38.5009,38.7193,38.2329,38.6200,6771300
HD,20050318,1600,38.6297,38.8084,38.4014,38.5900,11023500
HD,20050321,1600,38.3552,38.3850,37.2335,37.7100,11310900
HD,20050322,1600,37.7187,38.0959,37.5400,37.5400,7509000
HD,20050323,1600,37.2612,37.6880,37.1619,37.4200,13465500
HD,20050324,1600,37.4125,38.0478,37.3232,37.7500,7585400
HD,20050328,1600,38.0221,38.5085,37.9228,38.3100,6300500
HD,20050329,1600,38.1147,38.3629,37.3802,37.4100,8156400
HD,20050330,1600,37.5722,38.1380,37.5523,37.8700,6376800
HD,20050331,1600,37.9004,38.3571,37.8210,37.9600,6665400
HD,20050401,1600,38.1140,38.4614,36.6848,37.3200,12149300
HD,20050404,1600,37.2727,37.7690,37.0344,37.6300,7878700
HD,20050405,1600,37.4239,38.0691,37.1956,37.9500,7168400
HD,20050406,1600,37.8574,38.0261,37.4207,37.5100,5966400
HD,20050407,1600,37.3385,37.4278,36.9612,37.1300,9925200
HD,20050408,1600,37.2298,37.4978,37.0213,37.2000,8287200
HD,20050411,1600,37.2714,37.7081,37.0828,37.4600,6325500
HD,20050412,1600,37.5552,38.4586,37.3567,38.2700,7174900
HD,20050413,1600,38.1163,38.2751,37.4910,37.6200,6411800
HD,20050414,1600,37.4955,37.4955,36.8105,36.8800,9794500
HD,20050415,1600,36.2966,36.6737,35.4827,35.8400,12597700
HD,20050418,1600,35.8446,36.5593,35.7651,36.4600,8421300
HD,20050419,1600,36.4282,36.4679,35.9518,36.1900,6016300
HD,20050420,1600,35.7470,35.8264,35.0223,35.3400,11172100
HD,20050421,1600,35.6357,36.4000,35.6357,36.4000,8073600
HD,20050422,1600,36.4053,36.4053,35.4125,35.7600,7728700
HD,20050425,1600,35.7513,36.3171,35.7315,35.9300,6150500
HD,20050426,1600,35.7910,36.4957,35.7414,35.9300,5496000
HD,20050427,1600,35.7501,36.3260,35.6211,35.7700,7256500
HD,20050428,1600,35.4851,35.5943,34.6315,34.8300,11298200
HD,20050429,1600,34.9909,35.2291,34.3060,35.1100,10155600
HD,20050502,1600,35.4044,36.1290,35.2754,35.9900,8223300
HD,20050503,1600,35.4377,36.8175,35.4179,36.4800,9662900
HD,20050504,1600,36.5520,36.9293,36.3932,36.8300,7092700
HD,20050505,1600,36.7090,37.1558,36.3914,36.5800,5553100
HD,20050506,1600,36.8304,37.2077,36.7709,36.8900,7768300
HD,20050509,1600,36.7318,37.0693,36.7120,36.9800,5995300
HD,20050510,1600,36.4084,36.6168,35.9716,36.1900,7924800
HD,20050511,1600,36.1507,36.3691,35.5850,36.2500,7089800
HD,20050512,1600,36.1188,36.6746,35.9104,35.9600,6003300
HD,20050513,1600,36.1590,36.5758,35.8612,36.0200,7355400
HD,20050516,1600,36.1767,37.1000,36.1668,37.1000,10428200
HD,20050517,1600,38.6593,39.0663,38.3119,38.5700,17725400
HD,20050518,1600,38.8151,39.5894,38.6463,39.5100,12155700
HD,20050519,1600,39.5025,39.9492,39.4827,39.8400,7771100
HD,20050520,1600,39.8562,39.8562,38.9826,39.3400,7891900
HD,20050523,1600,39.6899,40.0472,39.6402,39.6700,7297200
HD,20050524,1600,39.5203,39.6891,39.3118,39.5600,6790300
HD,20050525,1600,39.3381,39.5664,38.8418,39.0800,5611200
HD,20050526,1600,39.2329,39.8186,39.1932,39.6300,5342200
HD,20050527,1600,39.5112,39.7495,39.4616,39.6800,4346800
HD,20050531,1600,39.5067,39.6556,39.0401,39.0600,7188900
HD,20050601,1600,38.9154,39.7592,38.8856,39.6500,6970600
HD,20050602,1600,39.6132,40.1889,39.5338,40.0400,5728000
HD,20050603,1600,40.0455,40.1745,39.3605,39.4300,4474500
HD,20050606,1600,39.4317,39.7295,39.4317,39.6600,3935000
HD,20050607,1600,39.8896,40.6062,39.7702,39.8100,8725200
HD,20050608,1600,39.8084,40.2264,39.4103,39.4800,7032700
HD,20050609,1600,39.3304,39.7583,39.2607,39.4100,6792400
HD,20050610,1600,39.3896,39.5289,38.4641,39.3100,5273800
HD,20050613,1600,39.0823,39.7690,39.0823,39.5700,4747200
HD,20050614,1600,39.4220,39.9992,39.4120,39.8400,5474500
HD,20050615,1600,40.1286,40.1883,39.3324,39.8400,6016400
HD,20050616,1600,39.7114,40.1493,39.6020,40.0000,5554700
HD,20050617,1600,40.3483,40.7264,39.5323,40.0000,11352600
HD,20050620,1600,39.8098,39.9192,39.4216,39.7600,4614300
HD,20050621,1600,39.6592,40.1269,39.3706,39.4900,4172600
HD,20050622,1600,39.7787,39.7986,39.3607,39.5100,4490500
HD,20050623,1600,39.5471,39.8257,38.9102,38.9500,8723600
HD,20050624,1600,38.8062,38.8659,37.9604,38.0500,13323400
HD,20050627,1600,38.1606,38.5885,38.1606,38.2800,5528000
HD,20050628,1600,38.5129,39.1399,38.3736,39.1200,4777700
HD,20050629,1600,39.0578,39.1772,38.5602,38.6100,4861100
HD,20050630,1600,39.7051,39.8146,38.6503,38.7100,7645900
HD,20050701,1600,38.9915,39.3000,38.8920,39.3000,8116900
HD,20050705,1600,39.3824,40.0194,39.2232,39.8900,8604100
HD,20050706,1600,39.8463,39.9358,38.8014,39.0800,6355500
HD,20050707,1600,38.8018,39.5482,38.4236,39.1700,6532900
HD,20050708,1600,39.3127,39.9796,39.2132,39.8900,6062100
HD,20050711,1600,39.6025,40.2791,39.5527,40.1000,5353900
HD,20050712,1600,40.3536,41.2990,40.3138,41.1000,12055000
HD,20050713,1600,41.0089,41.3771,40.7103,40.7800,7801200
HD,20050714,1600,40.7703,41.4470,40.7703,40.8400,6442000
HD,20050715,1600,40.8328,41.7981,40.8129,41.4100,7591100
HD,20050718,1600,41.2549,42.2898,41.2549,42.2400,8828000
HD,20050719,1600,42.2934,43.0398,42.2436,42.9900,10756300
HD,20050720,1600,43.0035,43.7699,42.8443,43.7400,10919500
HD,20050721,1600,43.4883,43.7172,42.8315,43.1400,9706500
HD,20050722,1600,43.0112,43.3496,42.5733,43.2600,5249800
HD,20050725,1600,43.1187,43.5466,42.7903,42.8500,5009400
HD,20050726,1600,42.8729,43.6890,42.8530,43.4800,7092300
HD,20050727,1600,43.5580,43.5580,42.8116,43.1400,5181800
HD,20050728,1600,43.0529,43.6899,43.0529,43.6600,5530400
HD,20050729,1600,43.5687,43.6881,43.0413,43.3000,5782400
HD,20050801,1600,42.9983,43.1774,42.1724,42.6500,7171500
HD,20050802,1600,42.5184,42.5881,42.0607,42.2000,7466400
HD,20050803,1600,41.8906,42.2290,41.7314,42.0200,6690600
HD,20050804,1600,41.2989,41.7965,40.9009,41.0800,9947700
HD,20050805,1600,41.0187,41.1580,40.5012,40.7500,6879800
HD,20050808,1600,40.8477,40.8875,40.1313,40.3900,6408200
HD,20050809,1600,40.7420,41.3292,40.6326,41.1600,6648600
HD,20050810,1600,41.4998,42.3159,41.3107,41.4600,8320600
HD,20050811,1600,41.4294,41.8573,40.8124,41.3000,6887100
HD,20050812,1600,41.0004,41.2392,40.5526,41.0800,5832900
HD,20050815,1600,41.7981,42.0569,40.9224,41.4100,8448800
HD,20050816,1600,41.1467,41.1467,40.3008,40.4700,11346500
HD,20050817,1600,40.3205,40.7782,40.1414,40.4200,8325900
HD,20050818,1600,40.1716,40.6990,39.9029,40.5000,8504100
HD,20050819,1600,40.5282,40.7869,40.1302,40.1700,7647700
HD,20050822,1600,40.2902,40.7479,39.9519,40.3300,7165800
HD,20050823,1600,40.5296,40.5296,40.0320,40.4400,6296000
HD,20050824,1600,40.2574,40.7052,39.7100,39.7100,7920500
HD,20050825,1600,39.6516,40.0596,39.5621,39.9800,7926500
HD,20050826,1600,39.8589,40.0081,39.3612,39.6200,6208700
HD,20050829,1600,39.6534,40.8276,39.6534,40.3400,11979500
HD,20050830,1600,40.2485,40.5477,39.0415,39.6500,13065400
HD,20050831,1600,40.0005,40.3996,39.4220,40.2200,11258800
HD,20050901,1600,40.5998,40.8891,40.0511,40.5100,11009100
HD,20050902,1600,40.7986,40.8086,40.0504,40.2300,7324800
HD,20050906,1600,40.6024,41.7197,40.6024,41.6100,10523000
HD,20050907,1600,41.7003,41.9397,41.4409,41.8300,10186400
HD,20050908,1600,41.6985,41.6985,40.9703,41.0800,8893900
HD,20050909,1600,41.0901,41.2996,40.9005,41.1200,6108400
HD,20050912,1600,41.1103,41.2599,40.7013,41.2300,5892400
HD,20050913,1600,40.7494,40.9788,40.4102,40.5000,9501200
HD,20050914,1600,40.6590,40.8984,40.1003,40.2400,6779200
HD,20050915,1600,40.4894,40.5093,39.8310,40.2400,6481600
HD,20050916,1600,40.6479,40.6479,39.7202,39.8000,14306000
HD,20050919,1600,39.8491,39.8590,39.0808,39.4400,7714700
HD,20050920,1600,39.4281,39.5678,38.4803,38.6200,8016100
HD,20050921,1600,38.3099,38.9584,37.9507,38.2600,11245900
HD,20050922,1600,38.3507,38.8296,37.9117,38.6600,15575600
HD,20050923,1600,38.7293,38.9189,38.0609,38.4400,13810300
HD,20050926,1600,38.7989,38.8787,38.0107,38.3200,10384600
HD,20050927,1600,38.4596,38.5195,38.0207,38.3000,8057800
HD,20050928,1600,38.2089,38.3586,37.4009,37.7600,13690600
HD,20050929,1600,37.6109,38.1496,37.0522,37.9700,9330700
HD,20050930,1600,37.9702,38.2695,37.6809,38.0500,7024700
HD,20051003,1600,38.0599,38.3393,37.9602,38.0300,7330200
HD,20051004,1600,38.1500,38.6588,38.0901,38.1500,8222300
HD,20051005,1600,38.1088,38.1586,37.5401,37.5900,7894900
HD,20051006,1600,37.7203,38.3587,37.3910,37.8300,11939900
HD,20051007,1600,38.0592,38.2986,37.5903,37.7100,6964300
HD,20051010,1600,38.0098,38.5286,37.8602,37.9300,8386100
HD,20051011,1600,37.9305,38.3096,37.9205,38.1400,8306200
HD,20051012,1600,38.1597,38.2894,37.4913,38.0300,8938900
HD,20051013,1600,37.7802,38.1094,37.6106,37.8600,7965600
HD,20051014,1600,38.8188,38.8188,37.8411,38.3200,7870500
HD,20051017,1600,38.4099,38.4598,37.9111,38.3700,5450900
HD,20051018,1600,38.2097,38.2496,37.8804,38.0700,7092000
HD,20051019,1600,37.9129,39.4094,37.4639,39.1700,23767700
HD,20051020,1600,39.6595,40.1483,39.4002,39.4700,14543400
HD,20051021,1600,39.6996,39.8991,39.4902,39.5500,10900900
HD,20051024,1600,39.9016,40.5600,39.5525,40.5600,10548300
HD,20051025,1600,40.4988,40.5587,39.7606,40.0200,11884800
HD,20051026,1600,39.8508,40.4892,39.7311,40.1600,13506600
HD,20051027,1600,39.9585,40.0782,39.1204,39.3000,8507500
HD,20051028,1600,39.6519,40.4799,39.5222,40.4200,9281600
HD,20051031,1600,40.5011,41.3690,40.4512,40.9400,12744700
HD,20051101,1600,40.9000,41.0795,40.6406,40.8800,11443400
HD,20051102,1600,40.7809,41.3595,40.7510,41.1600,11835600
HD,20051103,1600,41.2387,41.3384,40.2511,40.6900,14353300
HD,20051104,1600,40.8310,41.3398,40.4919,41.2600,6370400
HD,20051107,1600,41.2404,41.4698,41.0409,41.4000,7188600
HD,20051108,1600,41.0984,41.0984,40.3503,40.4700,9728500
HD,20051109,1600,40.5903,40.9793,40.5903,40.7100,10352300
HD,20051110,1600,40.8220,41.8395,40.7023,41.6400,8757400
HD,20051111,1600,41.1017,41.8998,41.1017,41.8100,7537600
HD,20051114,1600,42.3004,43.0985,42.2804,42.4700,12409700
HD,20051115,1600,43.1081,43.1679,42.0606,42.3000,14159500
HD,20051116,1600,42.2996,42.3794,41.4117,42.1300,10368300
HD,20051117,1600,42.3003,42.4898,41.9112,42.4100,6763500
HD,20051118,1600,43.0982,43.1182,42.1405,42.3400,7892300
